,movie_title,duration,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,num_user_for_reviews,num_critic_for_reviews,num_voted_users,cast_total_facebook_likes,movie_facebook_likes,plot_keywords,facenumber_in_poster,color,title_year,language,country,content_rating,aspect_ratio,movie_imdb_link,gross,budget,imdb_score,genre_1,genre_2
162,How to Train Your Dragon 2 ,102.0,Dean DeBlois,255.0,Gerard Butler,18000.0,Djimon Hounsou,3000.0,America Ferrera,953.0,343.0,292.0,221128,23378,46000,dragon|father son relationship|husband wife relationship|mother son relationship|viking,5.0,Color,2014.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,176997107.0,145000000.0,7.9,Action,Adventure
163,Gods of Egypt ,126.0,Alex Proyas,295.0,Gerard Butler,18000.0,Elodie Yung,934.0,Bryan Brown,284.0,273.0,184.0,51892,19769,24000,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,4.0,Color,2016.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,31141074.0,140000000.0,5.5,Action,Adventure
164,Stealth ,121.0,Rob Cohen,357.0,Sam Shepard,820.0,Joe Morton,780.0,Richard Roxburgh,653.0,388.0,145.0,45455,2705,0,artificial intelligence|box office flop|fighter jet|navy|pilot,0.0,Color,2005.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,31704416.0,135000000.0,5.0,Action,Adventure
165,Watchmen ,215.0,Zack Snyder,0.0,Matt Frewer,986.0,Billy Crudup,745.0,Stephen McHattie,413.0,1229.0,451.0,392474,2530,18000,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1.0,Color,2009.0,English,USA,R,2.35,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,107503316.0,130000000.0,7.7,Action,Drama
166,Lethal Weapon 4 ,127.0,Richard Donner,503.0,Jet Li,5000.0,Rene Russo,808.0,Darlene Love,91.0,287.0,141.0,127497,6171,0,kung fu|lapd|martial arts|private investigator|triad,2.0,Color,1998.0,English,USA,R,2.35,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,129734803.0,140000000.0,6.6,Action,Crime
167,Hulk ,138.0,Ang Lee,0.0,Kevin Rankin,820.0,Regi Davis,300.0,Celia Weston,258.0,1445.0,267.0,212106,1814,0,1980s|c 130 hercules|monster|panzer|san francisco california,0.0,Color,2003.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,132122995.0,137000000.0,5.7,Action,Sci-Fi
168,G.I. Joe: Retaliation ,122.0,Jon M. Chu,209.0,Channing Tatum,17000.0,Dwayne Johnson,12000.0,Elodie Yung,934.0,288.0,351.0,146352,31958,42000,general|gi joe|martial arts|ninja|president,6.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,122512052.0,130000000.0,5.8,Action,Adventure
169,Sahara ,124.0,Breck Eisner,42.0,Matthew McConaughey,11000.0,Rainn Wilson,973.0,Delroy Lindo,848.0,463.0,163.0,77673,13073,0,beach|civil war|desert|dictator|ship,3.0,Color,2005.0,English,UK,PG-13,2.35,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,68642452.0,130000000.0,6.0,Action,Adventure
170,Final Fantasy: The Spirits Within ,106.0,Hironobu Sakaguchi,6.0,Steve Buscemi,12000.0,Ming-Na Wen,2000.0,Jean Simmons,422.0,788.0,166.0,72259,15015,0,general|military|scientist|soldier|year 2065,1.0,Color,2001.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,32131830.0,137000000.0,6.4,Action,Adventure
171,Captain America: The First Avenger ,124.0,Joe Johnston,394.0,Chris Evans,11000.0,Dominic Cooper,3000.0,Hayley Atwell,2000.0,679.0,510.0,508818,19761,46000,arctic|captain america|scientist|tesseract|war bond,0.0,Color,2011.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,176636816.0,140000000.0,6.9,Action,Adventure
172,The World Is Not Enough ,128.0,Michael Apted,150.0,Colin Salmon,766.0,Maria Grazia Cucinotta,536.0,Desmond Llewelyn,244.0,683.0,197.0,157519,2037,2000,british|oil|scientist|terrorist|tycoon,2.0,Color,1999.0,English,UK,PG-13,2.35,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,126930660.0,135000000.0,6.4,Action,Adventure
173,Master and Commander: The Far Side of the World ,138.0,Peter Weir,608.0,James D'Arcy,613.0,Lee Ingleby,172.0,David Threlfall,168.0,684.0,244.0,168207,1205,0,1800s|napoleonic wars|pursuit|royal navy|ship,1.0,Color,2003.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,93926386.0,150000000.0,7.4,Action,Adventure
174,The Twilight Saga: Breaking Dawn - Part 2 ,115.0,Bill Condon,386.0,Robert Pattinson,21000.0,Kristen Stewart,17000.0,Taylor Lautner,12000.0,329.0,322.0,185394,59177,65000,battle|friend|super strength|vampire|vision,3.0,Color,2012.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,292298923.0,120000000.0,5.5,Adventure,Drama
175,Happy Feet 2 ,100.0,George Miller,750.0,Robin Williams,49000.0,Brad Pitt,11000.0,Common,988.0,79.0,156.0,32399,62644,0,3d|antarctica|krill|penguin|sequel,0.0,Color,2011.0,English,Australia,PG,2.35,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,63992328.0,135000000.0,5.9,Animation,Comedy
176,The Incredible Hulk ,135.0,Louis Leterrier,255.0,Ty Burrell,3000.0,Peter Mensah,1000.0,William Hurt,882.0,643.0,354.0,326286,5811,0,antidote|cure|hulk|marvel cinematic universe|opening action scene,0.0,Color,2008.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,134518390.0,150000000.0,6.8,Action,Adventure
178,The BFG ,117.0,Steven Spielberg,14000.0,Mark Rylance,535.0,Penelope Wilton,400.0,Rafe Spall,358.0,106.0,252.0,12572,1950,27000,cannibal|evil brother|giant|london england|queen,0.0,Color,2016.0,English,UK,PG,2.35,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,52792307.0,140000000.0,6.8,Adventure,Family
179,The Revenant ,156.0,Alejandro G. Iñárritu,0.0,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Lukas Haas,733.0,1188.0,556.0,406020,57108,190000,bear attack|cauterizing a wound|native american|revenge|survival,0.0,Color,2015.0,English,USA,R,2.35,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,183635922.0,135000000.0,8.1,Adventure,Drama
180,Turbo ,96.0,David Soren,13.0,Ryan Reynolds,16000.0,Snoop Dogg,881.0,Ben Schwartz,463.0,90.0,166.0,62424,17416,13000,accident|freak accident|race|snail|underdog,0.0,Color,2013.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1,83024900.0,135000000.0,6.5,Adventure,Animation
181,Rango ,107.0,Gore Verbinski,563.0,Johnny Depp,40000.0,Ray Winstone,1000.0,Stephen Root,939.0,337.0,362.0,183208,43291,26000,chameleon|lizard|sheriff|water|western town,0.0,Color,2011.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,123207194.0,135000000.0,7.2,Adventure,Animation
182,Penguins of Madagascar ,92.0,Eric Darnell,35.0,Benedict Cumberbatch,19000.0,Annet Mahendru,411.0,Andy Richter,179.0,118.0,153.0,60230,19963,11000,little girl|park|spy|statue of liberty|television van,0.0,Color,2014.0,English,USA,PG,1.85,http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,83348920.0,132000000.0,6.7,Adventure,Animation
183,The Bourne Ultimatum ,115.0,Paul Greengrass,521.0,Matt Damon,13000.0,Edgar Ramírez,897.0,Albert Finney,883.0,820.0,329.0,491077,17369,0,action hero|cia|dark past|flashback|memory,0.0,Color,2007.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,227137090.0,110000000.0,8.1,Action,Mystery
184,Kung Fu Panda ,92.0,Mark Osborne,54.0,Angelina Jolie Pitt,11000.0,Wayne Knight,967.0,Dan Fogler,562.0,360.0,266.0,307029,12754,6000,kung fu|kung fu master|master|panda|snow leopard,0.0,Color,2008.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,215395021.0,130000000.0,7.6,Action,Adventure
185,Ant-Man ,117.0,Peyton Reed,235.0,Judy Greer,2000.0,Hayley Atwell,2000.0,T.I.,680.0,549.0,517.0,313866,5730,61000,ant|chinatown san francisco|heist|sabotage|vault,6.0,Color,2015.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,180191634.0,130000000.0,7.4,Action,Adventure
186,The Hunger Games: Catching Fire ,146.0,Francis Lawrence,508.0,Jennifer Lawrence,34000.0,Josh Hutcherson,14000.0,Sandra Ellis Lafferty,523.0,706.0,502.0,498397,49355,82000,president|snow|television|tour|uprising,1.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,424645577.0,130000000.0,7.6,Adventure,Sci-Fi
188,Home ,94.0,Tim Johnson,12.0,Jim Parsons,17000.0,Matt Jones,523.0,April Winchell,183.0,214.0,165.0,70121,17883,26000,alien friendship|alien invasion|australia|flying car|mother daughter relationship,0.0,Color,2015.0,English,USA,PG,1.85,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,177343675.0,135000000.0,6.7,Adventure,Animation
189,War of the Worlds ,116.0,Steven Spielberg,14000.0,Tom Cruise,10000.0,Lisa Ann Walter,1000.0,Rick Gonzalez,807.0,2741.0,401.0,334345,12758,0,alien|fight|storm|survival|tripod,0.0,Color,2005.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,234277056.0,132000000.0,6.5,Adventure,Sci-Fi
190,Bad Boys II ,147.0,Michael Bay,0.0,Will Smith,10000.0,Henry Rollins,898.0,Jordi Mollà,877.0,511.0,94.0,178126,12954,0,cuba|dea|drugs|money|undercover,1.0,Color,2003.0,English,USA,R,2.35,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,138396624.0,130000000.0,6.6,Action,Comedy
191,Puss in Boots ,90.0,Chris Miller,50.0,Salma Hayek,4000.0,Constance Marie,442.0,Amy Sedaris,397.0,137.0,246.0,114287,5046,16000,betrayal|egg|friend|goose|hero,0.0,Color,2011.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,149234747.0,130000000.0,6.7,Action,Adventure
192,Salt ,101.0,Phillip Noyce,176.0,Angelina Jolie Pitt,11000.0,Andre Braugher,702.0,August Diehl,282.0,514.0,330.0,245621,12406,23000,cia|on the run|russian|russian spy|strong female lead,1.0,Color,2010.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,118311368.0,110000000.0,6.4,Action,Crime
193,Noah ,138.0,Darren Aronofsky,0.0,Anthony Hopkins,12000.0,Emma Watson,9000.0,Logan Lerman,8000.0,1240.0,434.0,200022,32355,71000,ark|flood|noah's ark|water|wrath of god,2.0,Color,2014.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1,101160529.0,125000000.0,5.8,Action,Adventure
194,The Adventures of Tintin ,107.0,Steven Spielberg,14000.0,Toby Jones,2000.0,Mackenzie Crook,871.0,Tony Curran,845.0,447.0,440.0,177383,4631,44000,captain|morocco|ship|tintin|treasure,1.0,Color,2011.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1,77564037.0,135000000.0,7.4,Action,Adventure
195,Harry Potter and the Prisoner of Azkaban ,142.0,Alfonso Cuarón,0.0,Daniel Radcliffe,11000.0,Gary Oldman,10000.0,Rupert Grint,10000.0,1504.0,274.0,382255,33284,11000,magic|muggle|serial killer|traitor|wizard,3.0,Color,2004.0,English,UK,PG,2.35,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,249358727.0,130000000.0,7.8,Adventure,Family
196,Australia ,165.0,Baz Luhrmann,1000.0,Essie Davis,309.0,Bryan Brown,284.0,Eddie Baroo,165.0,450.0,245.0,102338,921,0,australia|cattle|darwin|drover|japanese,0.0,Color,2008.0,English,Australia,PG-13,2.35,http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1,49551662.0,130000000.0,6.6,Adventure,Drama
197,After Earth ,100.0,M. Night Shyamalan,0.0,Will Smith,10000.0,Zoë Kravitz,943.0,Glenn Morshower,894.0,744.0,349.0,158720,14168,37000,box office flop|father son team|fear|race against time|real life father and son playing father and son,0.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,60522097.0,130000000.0,4.9,Action,Adventure
198,Dinosaur ,82.0,Eric Leighton,0.0,Alfre Woodard,1000.0,D.B. Sweeney,558.0,Della Reese,388.0,241.0,145.0,38438,2945,0,egg|iguanodon|lemur|meteor|nesting grounds,1.0,Color,2000.0,English,USA,PG,1.85,http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1,137748063.0,127500000.0,6.5,Adventure,Animation
200,Night at the Museum: Secret of the Tomb ,98.0,Shawn Levy,189.0,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0,126.0,154.0,67223,53587,11000,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,7.0,Color,2014.0,English,USA,PG,1.85,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1,113733726.0,127000000.0,6.2,Adventure,Comedy
201,Megamind ,95.0,Tom McGrath,96.0,J.K. Simmons,24000.0,Brad Pitt,11000.0,Will Ferrell,8000.0,187.0,233.0,172754,46120,13000,battle|city|planet|prison|superhero,3.0,Color,2010.0,English,USA,PG,2.35,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1,148337537.0,130000000.0,7.3,Action,Animation
202,Harry Potter and the Sorcerer's Stone ,159.0,Chris Columbus,0.0,Daniel Radcliffe,11000.0,Fiona Shaw,687.0,Verne Troyer,645.0,1571.0,258.0,444683,13191,16000,based on novel|birthday|evil wizard|quidditch|wizard,4.0,Color,2001.0,English,UK,PG,2.35,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,317557891.0,125000000.0,7.5,Adventure,Family
203,R.I.P.D. ,96.0,Robert Schwentke,124.0,Ryan Reynolds,16000.0,Jeff Bridges,12000.0,Stephanie Szostak,1000.0,210.0,208.0,91640,31549,20000,drug dealer|gold|partner|police|undead,2.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,33592415.0,130000000.0,5.6,Action,Comedy
205,Pirates of the Caribbean: The Curse of the Black Pearl ,143.0,Gore Verbinski,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,2113.0,271.0,809474,48184,10000,caribbean|curse|governor|pirate|undead,3.0,Color,2003.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1,305388685.0,140000000.0,8.1,Action,Adventure
207,The Hunger Games: Mockingjay - Part 1 ,123.0,Francis Lawrence,508.0,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0,591.0,403.0,305008,81385,52000,based on young adult novel|manipulation|rebellion|symbol|uprising,1.0,Color,2014.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1,337103873.0,125000000.0,6.7,Adventure,Sci-Fi
208,The Da Vinci Code ,174.0,Ron Howard,2000.0,Tom Hanks,15000.0,Seth Gabel,574.0,Jürgen Prochnow,362.0,1966.0,294.0,314253,16008,0,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,2.0,Color,2006.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1,217536138.0,125000000.0,6.6,Mystery,Thriller
209,Rio 2 ,101.0,Carlos Saldanha,107.0,Miguel Ferrer,688.0,Rachel Crow,237.0,Jeffrey Garcia,56.0,99.0,159.0,58498,1031,0,amazon|bird|father in law|jungle|no opening credits,0.0,Color,2014.0,English,USA,G,2.35,http://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1,131536019.0,103000000.0,6.4,Adventure,Animation
210,X-Men 2 ,134.0,Bryan Singer,0.0,Hugh Jackman,20000.0,Bruce Davison,505.0,Aaron Stanford,346.0,1055.0,289.0,405973,20952,0,mutant|prison|professor|school|x men,4.0,Color,2003.0,English,Canada,PG-13,2.35,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,214948780.0,110000000.0,7.5,Action,Adventure
211,Fast Five ,132.0,Justin Lin,681.0,Paul Walker,23000.0,Vin Diesel,14000.0,Dwayne Johnson,12000.0,366.0,342.0,284792,55345,54000,drug lord|drugs|federal agent|heist|police,3.0,Color,2011.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1,209805005.0,125000000.0,7.3,Action,Crime
212,Sherlock Holmes: A Game of Shadows ,129.0,Guy Ritchie,0.0,Robert Downey Jr.,21000.0,Eddie Marsan,979.0,Paul Anderson,154.0,412.0,382.0,338635,22403,39000,factory|gypsy|investigation|sherlock holmes|train,2.0,Color,2011.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1,186830669.0,125000000.0,7.5,Action,Adventure
213,Clash of the Titans ,106.0,Louis Leterrier,255.0,Liam Neeson,14000.0,Jason Flemyng,1000.0,Alexa Davalos,850.0,637.0,344.0,229679,18003,15000,famous line|hand to hand combat|kraken|rape|zeus,0.0,Color,2010.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,163192114.0,125000000.0,5.8,Action,Adventure
214,Total Recall ,113.0,Paul Verhoeven,719.0,Ronny Cox,605.0,Rachel Ticotin,308.0,Marshall Bell,217.0,391.0,196.0,240241,1441,0,ambiguous ending|false memory|implanted memory|memory|space colony,0.0,Color,1990.0,English,USA,R,1.85,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,119412921.0,65000000.0,7.5,Action,Sci-Fi
215,The 13th Warrior ,102.0,John McTiernan,323.0,Tony Curran,845.0,Vladimir Kulich,372.0,Clive Russell,241.0,546.0,85.0,101411,1815,0,arab|battle|combat|viking|warrior,1.0,Color,1999.0,English,USA,R,2.35,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,32694788.0,85000000.0,6.6,Action,Adventure
216,The Bourne Legacy ,135.0,Tony Gilroy,209.0,Jeremy Renner,10000.0,Scott Glenn,826.0,Stacy Keach,602.0,504.0,436.0,229823,12175,31000,assassin|cia|drone|pill|wolf,0.0,Color,2012.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1,113165635.0,125000000.0,6.7,Action,Adventure
217,Batman & Robin ,125.0,Joel Schumacher,541.0,Michael Gough,920.0,Vivica A. Fox,890.0,John Glover,409.0,1018.0,183.0,189855,2699,0,butler|critically bashed|cure|freeze|gotham,3.0,Color,1997.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,107285004.0,125000000.0,3.7,Action,Action
218,How the Grinch Stole Christmas ,110.0,Ron Howard,2000.0,Clint Howard,1000.0,T.J. Thyne,722.0,Molly Shannon,636.0,482.0,175.0,141414,4146,0,box office hit|christmas|materialism|public humiliation|snowflake,0.0,Color,2000.0,English,USA,PG,1.85,http://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1,260031035.0,123000000.0,6.0,Comedy,Family
219,The Day After Tomorrow ,124.0,Roland Emmerich,776.0,Jake Gyllenhaal,15000.0,Dennis Quaid,2000.0,Sela Ward,812.0,1159.0,239.0,333248,20553,19000,climate|end of the world|global warming|natural disaster|weather,0.0,Color,2004.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1,186739919.0,125000000.0,6.4,Action,Adventure
220,Mission: Impossible II ,123.0,John Woo,610.0,Tom Cruise,10000.0,Dougray Scott,794.0,Richard Roxburgh,653.0,1426.0,237.0,242188,11930,0,cure|mission|terrorist|thief|virus,0.0,Color,2000.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0120755/?ref_=fn_tt_tt_1,215397307.0,125000000.0,6.1,Action,Adventure
221,The Perfect Storm ,130.0,Wolfgang Petersen,249.0,Karen Allen,784.0,Mary Elizabeth Mastrantonio,638.0,Bob Gunton,461.0,779.0,231.0,133076,2684,0,death|fish|fishing|sea|storm,0.0,Color,2000.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0177971/?ref_=fn_tt_tt_1,182618434.0,140000000.0,6.4,Action,Adventure
222,Fantastic 4: Rise of the Silver Surfer ,92.0,Tim Story,167.0,Chris Evans,11000.0,Ioan Gruffudd,2000.0,Andre Braugher,702.0,436.0,262.0,213275,15302,0,fantastic four|space|strong female character|strong female lead|superheroine,3.0,Color,2007.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1,131920333.0,130000000.0,5.6,Action,Adventure
223,Life of Pi ,127.0,Ang Lee,0.0,Suraj Sharma,774.0,Rafe Spall,358.0,Tabu,341.0,755.0,552.0,440084,2121,122000,animal|faith|india|journey|tiger,0.0,Color,2012.0,English,USA,PG,1.85,http://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1,124976634.0,120000000.0,8.0,Adventure,Drama
224,Ghost Rider ,123.0,Mark Steven Johnson,160.0,Nicolas Cage,12000.0,Matt Long,701.0,Peter Fonda,402.0,681.0,276.0,182661,14017,0,blackheart|devil|father|ghost|mephistopheles,1.0,Color,2007.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,115802596.0,110000000.0,5.2,Action,Fantasy
225,Jason Bourne ,123.0,Paul Greengrass,521.0,Matt Damon,13000.0,Riz Ahmed,365.0,Ato Essandoh,265.0,297.0,267.0,40123,13752,31000,black ops|chase|cia|cia agent|repeated scene,0.0,Color,2016.0,English,UK,PG-13,2.35,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,108521835.0,120000000.0,7.1,Action,Thriller
226,Charlie's Angels: Full Throttle ,107.0,McG,368.0,Demi Moore,2000.0,Bernie Mac,1000.0,Justin Theroux,1000.0,554.0,102.0,100821,4046,0,fbi|murder|ring|witness protection|witness protection program,0.0,Color,2003.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1,100685880.0,120000000.0,4.8,Action,Adventure
227,Prometheus ,124.0,Ridley Scott,0.0,Michael Fassbender,13000.0,Charlize Theron,9000.0,Sean Harris,641.0,2326.0,775.0,456260,24098,97000,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,0.0,Color,2012.0,English,USA,R,2.35,http://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1,126464904.0,130000000.0,7.0,Adventure,Mystery
228,Stuart Little 2 ,77.0,Rob Minkoff,50.0,Nathan Lane,886.0,Brad Garrett,799.0,Melanie Griffith,537.0,69.0,71.0,36471,2682,459,anthropomorphic mouse|falcon|marshmallow|second part|soccer,0.0,Color,2002.0,English,USA,PG,1.85,http://www.imdb.com/title/tt0243585/?ref_=fn_tt_tt_1,64736114.0,120000000.0,5.4,Adventure,Animation
229,Elysium ,109.0,Neill Blomkamp,662.0,Matt Damon,13000.0,Sharlto Copley,2000.0,Alice Braga,1000.0,814.0,476.0,338087,17689,61000,christ figure|class differences|messiah|saviour|social commentary,0.0,Color,2013.0,English,USA,R,2.35,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,93050117.0,115000000.0,6.6,Action,Drama
230,The Chronicles of Riddick ,134.0,David Twohy,123.0,Vin Diesel,14000.0,Alexa Davalos,850.0,Christina Cox,567.0,666.0,207.0,183909,17159,0,bounty hunter|escape|necromonger|planet|warrior,0.0,Color,2004.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,57637485.0,105000000.0,6.7,Action,Adventure
231,RoboCop ,117.0,José Padilha,294.0,Gary Oldman,10000.0,Abbie Cornish,2000.0,Jennifer Ehle,1000.0,630.0,492.0,182899,14161,60000,law enforcement|police|robocop|robot|technology,0.0,Color,2014.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,58607007.0,100000000.0,6.2,Action,Crime
232,Speed Racer ,135.0,Lana Wachowski,0.0,Scott Porter,690.0,Kick Gurry,107.0,Nicholas Elia,87.0,414.0,284.0,57873,902,0,based on anime|based on cartoon|gadget car|racer|speed,0.0,Color,2008.0,English,USA,PG,2.35,http://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1,43929341.0,120000000.0,6.1,Action,Family
233,How Do You Know ,121.0,James L. Brooks,274.0,Shelley Conn,273.0,Domenick Lombardozzi,216.0,Teyonah Parris,157.0,196.0,168.0,35066,993,0,embarrassment|falling in love|love|love triangle|revelation,4.0,Color,2010.0,English,USA,PG-13,1.85,http://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1,30212620.0,120000000.0,5.3,Comedy,Drama
234,Knight and Day ,117.0,James Mangold,446.0,Tom Cruise,10000.0,Marc Blucas,973.0,Jordi Mollà,877.0,348.0,283.0,148280,12731,11000,chase|fbi|garage|spy|surveillance,0.0,Color,2010.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1,76418654.0,117000000.0,6.3,Action,Comedy
235,Oblivion ,124.0,Joseph Kosinski,364.0,Morgan Freeman,11000.0,Tom Cruise,10000.0,Zoë Bell,1000.0,892.0,539.0,387436,22004,71000,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,0.0,Color,2013.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt1483013/?ref_=fn_tt_tt_1,89021735.0,120000000.0,7.0,Action,Adventure
236,Star Wars: Episode III - Revenge of the Sith ,140.0,George Lucas,0.0,Natalie Portman,20000.0,Christopher Lee,16000.0,Hayden Christensen,4000.0,3286.0,359.0,520104,44042,10000,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,4.0,Color,2005.0,English,USA,PG-13,2.35,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1,380262555.0,113000000.0,7.6,Action,Adventure
237,Star Wars: Episode II - Attack of the Clones ,142.0,George Lucas,0.0,Natalie Portman,20000.0,Christopher Lee,16000.0,Hayden Christensen,4000.0,3516.0,284.0,464310,42990,0,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,3.0,Color,2002.0,English,USA,PG,1.78,http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1,310675583.0,115000000.0,6.7,Action,Adventure
238,"Monsters, Inc. ",92.0,Pete Docter,0.0,Steve Buscemi,12000.0,John Ratzenberger,1000.0,James Coburn,773.0,593.0,250.0,585659,15013,0,friend|little girl|monster|rival|scream,0.0,Color,2001.0,English,USA,G,1.85,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1,289907418.0,115000000.0,8.1,Adventure,Animation
